Cnode ID, Thread ID,visits,time,min_time,max_time,task_migration_loss,task_migration_win,bytes_put,bytes_get,PAPI_TOT_INS,PAPI_FP_INS,PAPI_FP_OPS,PEVT_L2_FETCH_LINE,PEVT_L2_STORE_LINE,bytes_sent,bytes_received
0,0,61748,45.2808,0,45.2808293088,0,0,0,0,11951117765,1306924244,2199860053,2694962366,481476133,13571792,14145087
0,1,82583,45.2839,1.258625e-005,45.2839017475,0,0,0,0,11568598397,1274534484,2160341979,2694962398,481476160,17732916,17732795
0,2,82583,45.3167,1.2496875e-005,45.3166736738,0,0,0,0,11977932579,1047518100,1821014358,2694962300,481476051,17732916,17732795
0,3,82583,45.2765,1.2318125e-005,45.27649577,0,0,0,0,12027097936,1042520015,1814562570,2694962375,481476140,17732916,17732795
0,4,82583,44.9618,1.312375e-005,44.9617841975,0,0,0,0,11454956911,1042527825,1816040207,2694962402,481476167,17732916,17732795
0,5,82583,44.9615,1.276375e-005,44.9614848081,0,0,0,0,11438190184,1042857694,1811649036,2694962385,481476161,17732916,17732795
0,6,82583,44.9669,1.240125e-005,44.9669221112,0,0,0,0,11623313007,1042229734,1817545082,2694962393,481476165,17732916,17732795
0,7,61321,44.9642,1.2398125e-005,44.9641687,0,0,0,0,12255363836,1038841174,1811047654,2694962379,481476144,13489420,13482539
0,8,82583,45.129,1.197e-005,45.1289895831,0,0,0,0,11570988143,1277646450,2159400573,2694962394,481476166,17732916,17732795
0,9,112529,45.1138,1.228875e-005,45.113813765,0,0,0,0,11272751302,1229094874,2093188203,2694962394,481476157,21883528,21874179
0,10,112529,45.119,1.258375e-005,45.119002265,0,0,0,0,11789257807,1033769951,1802539845,2694962382,481476156,21883528,21874179
0,11,112529,45.12,1.05175e-005,45.11995471,0,0,0,0,11832747672,1031895976,1800033702,2694962375,481476140,21883528,21874179
0,12,112529,44.789,1.2926875e-005,44.7889918294,0,0,0,0,11121038300,1031882480,1804459750,2694962381,481476158,21883528,21874179
0,13,112529,44.7673,1.288875e-005,44.7673234969,0,0,0,0,11218681481,1032111046,1805710037,2694962412,481476173,21883528,21874179
0,14,112529,44.8056,1.2849375e-005,44.8056251262,0,0,0,0,11278891116,1031602515,1799528029,2694962395,481476171,21883528,21874179
0,15,82563,44.7867,1.2210625e-005,44.7867105544,0,0,0,0,11830179380,1032808172,1800010183,2694962377,481476146,17571804,17555275
0,16,82583,44.6541,1.03025e-005,44.6540914681,0,0,0,0,11673668797,1047202884,1822775137,2694962410,481476169,17732916,17732795
0,17,112529,44.6513,1.2355e-005,44.651261835,0,0,0,0,11193408907,1033683328,1803507853,2694962388,481476159,21883528,21874179
0,18,112529,44.6544,1.1551875e-005,44.654404385,0,0,0,0,11375642361,1032053961,1801429894,2694962388,481476161,21883528,21874179
0,19,112529,44.6515,1.1771875e-005,44.65153228,0,0,0,0,11220146750,1031966326,1798597065,2694962382,481476119,21883528,21874179
0,20,112529,44.5624,1.2130625e-005,44.5624272463,0,0,0,0,11280478790,1031959262,1802599977,2694962401,481476165,21883528,21874179
0,21,112529,44.5513,1.292875e-005,44.5512693144,0,0,0,0,11059248482,1032073257,1801544127,2694962390,481476159,21883528,21874179
0,22,112529,44.5654,1.242125e-005,44.5653591881,0,0,0,0,11125265548,1031691357,1798719085,2694962413,481476172,21883528,21874179
0,23,82563,44.5628,1.204e-005,44.5627522462,0,0,0,0,11725991498,1032900633,1799588989,2694962413,481476171,17571804,17555275
0,24,82583,44.9067,1.212e-005,44.9066647706,0,0,0,0,11715898960,1042908120,1812530295,2694962404,481476158,17732916,17732795
0,25,112529,44.9091,1.238375e-005,44.9090647,0,0,0,0,11414902426,1032201898,1800611439,2694962375,481476143,21883528,21874179
0,26,112529,44.8996,1.264125e-005,44.89961187,0,0,0,0,11278377393,1032155266,1802284146,2694962429,481476174,21883528,21874179
0,27,112529,44.9039,1.2915e-005,44.9038998125,0,0,0,0,11369452923,1031972759,1802989736,2694962384,481476150,21883528,21874179
0,28,112529,44.6964,1.2505e-005,44.6964184481,0,0,0,0,11188636395,1032034437,1803683579,2694962402,481476173,21883528,21874179
0,29,112529,44.7226,1.2965625e-005,44.7225809313,0,0,0,0,11240389830,1032099389,1804121859,2694962364,481476130,21883528,21874179
0,30,112529,44.7217,1.26925e-005,44.7216710656,0,0,0,0,11124178373,1031798693,1800532320,2694962394,481476172,21883528,21874179
