Cnode ID, Thread ID,visits,time,min_time,max_time,bytes_put,bytes_get,io_bytes_read,io_bytes_written,bytes_sent,bytes_received
0,0,4215323,0.853407,0,0.853407463545,0,0,0,0,12800000,8000000
0,1,4201123,0.843941,0,0.843940924113,0,0,0,0,4000000,5600000
0,2,4201123,0.842709,0,0.842708688957,0,0,0,0,4000000,5600000
0,3,4201123,0.844094,0,0.844093740266,0,0,0,0,4000000,5600000
1,0,4215322,0.853372,0,0.853371750508,0,0,0,0,12800000,8000000
1,1,4201122,0.843906,0,0.84390628852,0,0,0,0,4000000,5600000
1,2,4201122,0.842671,0,0.842671450464,0,0,0,0,4000000,5600000
1,3,4201122,0.844057,0,0.844056684475,0,0,0,0,4000000,5600000
2,0,1,0.460242,0.460242220236,0.460242220236,0,0,0,0,0,0
2,1,1,0.450699,0.450698522463,0.450698522463,0,0,0,0,0,0
2,2,1,0.449463,0.449462885925,0.449462885925,0,0,0,0,0,0
2,3,1,0.450932,0.450932123322,0.450932123322,0,0,0,0,0,0
3,0,1,2.72862e-006,2.72862151307e-006,2.72862151307e-006,0,0,0,0,0,0
3,1,1,2.00193e-006,2.00192526448e-006,2.00192526448e-006,0,0,0,0,0,0
3,2,1,2.00288e-006,2.00287855458e-006,2.00287855458e-006,0,0,0,0,0,0
3,3,1,2.95338e-006,2.95337743007e-006,2.95337743007e-006,0,0,0,0,0,0
4,0,1,7.64776e-007,7.64775942406e-007,7.64775942406e-007,0,0,0,0,0,0
4,1,1,8.2858e-007,8.28579914413e-007,8.28579914413e-007,0,0,0,0,0,0
4,2,1,7.50484e-007,7.5048421351e-007,7.5048421351e-007,0,0,0,0,0,0
4,3,1,1.04859e-006,1.04858708498e-006,1.04858708498e-006,0,0,0,0,0,0
5,0,4215317,0.392901,0,0.39290055464,0,0,0,0,12800000,8000000
5,1,4201117,0.393148,0,0.393147800681,0,0,0,0,4000000,5600000
5,2,4201117,0.393145,0,0.393145231481,0,0,0,0,4000000,5600000
5,3,4201117,0.393058,0,0.393058307782,0,0,0,0,4000000,5600000
6,0,8,9.4697e-006,4.7619921694e-008,6.42011784279e-006,0,0,0,0,0,0
6,1,8,1.04258e-005,4.66671446049e-008,6.45339942536e-006,0,0,0,0,0,0
6,2,8,1.02087e-005,5.04767300965e-008,5.66482246441e-006,0,0,0,0,0,0
6,3,8,9.36966e-006,4.66673634548e-008,4.8362626862e-006,0,0,0,0,0,0
7,0,4,1.8067e-006,4.7619921694e-008,1.63526811097e-006,0,0,0,0,0,0
7,1,4,1.75621e-006,4.66671446049e-008,1.59715921433e-006,0,0,0,0,0,0
7,2,4,1.66764e-006,5.04767300965e-008,1.49334929795e-006,0,0,0,0,0,0
7,3,4,1.68098e-006,4.66673634548e-008,1.51430832435e-006,0,0,0,0,0,0
8,0,14000,0.000498162,2.95243514503e-008,1.32383382309e-007,0,0,0,0,0,0
8,1,0,0,0,0,0,0,0,0,0,0
8,2,0,0,0,0,0,0,0,0,0,0
8,3,0,0,0,0,0,0,0,0,0,0
9,0,420100,0.0378618,2.95243514503e-008,0.00102985318891,0,0,0,0,1600000,400000
9,1,420100,0.0400541,2.95241118929e-008,0.00289058674659,0,0,0,0,0,400000
9,2,420100,0.0392978,2.95241251508e-008,0.00257474657289,0,0,0,0,0,400000
9,3,420100,0.0398051,2.9524250349e-008,0.00279834463909,0,0,0,0,0,400000
10,0,50,0.000453266,4.19150550751e-006,0.000238507235,0,0,0,0,1600000,400000
10,1,50,0.00264715,4.21813843786e-006,0.00209472050055,0,0,0,0,0,400000
10,2,50,0.0021898,4.00004276236e-007,0.0018039040465,0,0,0,0,0,400000
